Month (month),State (state_name),State Code (state_code),District (district_name),District Code (district_code),Total Rice Allocated (total_rice_allocated),Total Wheat Allocated (total_wheat_allocated),Total Rice Distributed (total_rice_distributed),Total Wheat Distritibuted (total_wheat_distributed)
01-05-2019,Telangana,36,Nirmal,680,2189.04,0,2098.94,0
01-11-2021,Uttar Pradesh,9,Amroha,154,2783.93,4124.03,2605.49,3861.38
01-02-2018,Gujarat,24,Mahesana,451,3040.61,4624.69,2663.71,4056.49
01-09-2021,Assam,18,Kokrajhar,294,4281.56,201.6,4281.56,201.6
01-03-2019,Assam,18,Marigaon,296,4281.19,0,4281.19,0
01-04-2019,Andaman & Nicobar Islands,35,South Andamans,602,83.62,0,5.3,0
01-02-2019,Chhattisgarh,22,Korba,383,4914.55,0,4787.41,0
01-08-2018,Chhattisgarh,22,Raipur,387,6981.03,0,6897.07,0
01-04-2018,Odisha,21,Boudh,349,1939.85,143.67,1885.93,137.22
01-05-2020,Bihar,10,Sheikhpura,219,1435.9,957.27,1174.06,782.73
01-01-2019,Jammu And Kashmir,1,Kupwara,8,4094.65,0,2996.76,0
01-07-2018,West Bengal,19,24 Paraganas North,303,9816.1,14525.63,9570.44,14477.92
01-11-2020,Uttar Pradesh,9,Hamirpur,149,2152.65,3138.93,2001.11,2915.38
01-06-2019,Jammu And Kashmir,1,Pulwama,11,3766.29,0,1778.31,0
01-01-2018,Gujarat,24,Mahesana,451,3036.09,4617.91,2753.08,4191.08
01-10-2019,Uttar Pradesh,9,Shahjahanpur,180,4569.05,6758.97,4219.7,6237.49
01-08-2018,Himachal Pradesh,2,Kinnaur,19,68,99,68.42,94.93
01-09-2021,Madhya Pradesh,23,Satna,426,1956.87,6857.91,1860.63,6527.52
01-09-2021,Andaman And Nicobar Islands,35,North And Middle Andaman,632,99.76,24.7,97.56,20.85
01-02-2020,Uttar Pradesh,9,Bulandshahr,134,5141.09,7645.63,4843.64,7199.84
01-07-2018,Bihar,10,Kishanganj,203,5009.45,3339.64,4804.39,3202.93
01-06-2020,Kerala,32,Kottayam,560,3691.56,834.82,3545.78,792.69
01-09-2018,Telangana,36,Adilabad,501,2457.88,0,2354.55,0
01-08-2019,Madhya Pradesh,23,Sehore,427,1052.24,4399.02,926.13,3890.1
01-07-2019,Telangana,36,Warangal_Urban,686,2832.95,0,2596.29,0
01-08-2018,Jammu And Kashmir,1,Resai,627,734.7,1530.14,367.35,765.07
01-07-2018,Assam,18,Nalbari,298,3391.43,180.5,3391.43,180.5
01-09-2020,Uttar Pradesh,9,Kannauj,155,2719.85,4006.2,2575.97,3794.75
01-10-2017,Himachal Pradesh,2,Bilaspur,15,0,2000,0,0
01-07-2018,Uttarakhand,5,Tehri Garhwal,55,1445.76,884.55,1548.33,968.66
01-12-2020,Telangana,36,Khammam,509,4301.05,0,3506.77,0
01-10-2021,Karnataka,29,Kolar,542,2435.03,0,2349.5,0
01-06-2020,Assam,18,Goalpara,287,4259.54,0,4259.54,0
01-05-2018,Andhra Pradesh,28,Spsr Nellore,515,9851.33,0,8564.43,0
01-08-2020,Bihar,10,Katihar,201,7864.41,5243.63,8323.83,5549.76
01-06-2019,Uttar Pradesh,9,Gautam Buddha Nagar,144,1467.03,2180.81,1217.88,1807.16
01-07-2020,Odisha,21,Kandhamal,359,3696.41,98.47,3681.15,97.45
01-05-2018,Karnataka,29,Shivamogga,547,12853.68,0,5780.1,0
01-10-2017,Maharashtra,27,Yavatmal,500,4151.02,6226.53,2.27,49.12
01-12-2020,Andhra Pradesh,28,Guntur,506,14005.65,0,12351.17,0
01-04-2019,Arunachal Pradesh,12,Kurung Kumey,233,158.09,0,158.09,0
01-10-2019,Madhya Pradesh,23,Shivpuri,432,1406.9,6228.08,1043.47,4594.24
